# MD Simulation - NVT Ensemble
# Timestep: 0.5 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       285      142.500       310.51      0.07669868  -1313.10766571  -1313.03096702
       286      143.000       306.53      0.07571713  -1313.10750298  -1313.03178586
       287      143.500       280.61      0.06931323  -1313.10753160  -1313.03821837
       288      144.000       302.97      0.07483824  -1313.10886175  -1313.03402351
       289      144.500       326.71      0.08069997  -1313.10983599  -1313.02913601
       290      145.000       286.03      0.07065234  -1313.11054118  -1313.03988884
       291      145.500       267.59      0.06609775  -1313.11067741  -1313.04457965
       292      146.000       298.26      0.07367392  -1313.11045342  -1313.03677950
       293      146.500       324.70      0.08020531  -1313.10956442  -1313.02935911
       294      147.000       330.36      0.08160294  -1313.10990399  -1313.02830106
       295      147.500       317.39      0.07839788  -1313.10942198  -1313.03102410
       296      148.000       310.63      0.07672915  -1313.10906904  -1313.03233989
       297      148.500       333.59      0.08240089  -1313.10854990  -1313.02614901
       298      149.000       306.70      0.07575831  -1313.10895138  -1313.03319307
       299      149.500       295.45      0.07297832  -1313.10971914  -1313.03674082
       300      150.000       268.29      0.06626996  -1313.11068321  -1313.04441325
       301      150.500       283.48      0.07002283  -1313.11083277  -1313.04080994
       302      151.000       301.16      0.07438951  -1313.11091296  -1313.03652345
       303      151.500       366.16      0.09044579  -1313.11062801  -1313.02018222
       304      152.000       306.77      0.07577680  -1313.11025308  -1313.03447627
       305      152.500       340.26      0.08404715  -1313.10923896  -1313.02519181
       306      153.000       304.91      0.07531546  -1313.10910046  -1313.03378500
       307      153.500       288.35      0.07122531  -1313.10955095  -1313.03832564
       308      154.000       267.55      0.06608740  -1313.10975634  -1313.04366895
       309      154.500       288.28      0.07120909  -1313.10882460  -1313.03761551
       310      155.000       274.77      0.06787011  -1313.10889506  -1313.04102496
       311      155.500       302.79      0.07479346  -1313.10847893  -1313.03368548
       312      156.000       336.25      0.08305780  -1313.10923255  -1313.02617475
       313      156.500       309.65      0.07648775  -1313.10937994  -1313.03289218
       314      157.000       297.88      0.07358024  -1313.10914381  -1313.03556357
       315      157.500       379.72      0.09379573  -1313.10906737  -1313.01527164
       316      158.000       315.12      0.07783722  -1313.10822824  -1313.03039103
       317      158.500       277.00      0.06842267  -1313.10696990  -1313.03854723
       318      159.000       299.39      0.07395227  -1313.10745870  -1313.03350643
       319      159.500       267.86      0.06616558  -1313.10725075  -1313.04108517
       320      160.000       353.52      0.08732222  -1313.10908186  -1313.02175964
       321      160.500       284.71      0.07032641  -1313.10907487  -1313.03874847
       322      161.000       317.05      0.07831607  -1313.10956840  -1313.03125233
       323      161.500       279.98      0.06915928  -1313.11004346  -1313.04088419
       324      162.000       277.09      0.06844542  -1313.11002303  -1313.04157761
       325      162.500       320.49      0.07916452  -1313.11009242  -1313.03092790
       326      163.000       377.54      0.09325694  -1313.10954462  -1313.01628768
       327      163.500       364.37      0.09000427  -1313.10987385  -1313.01986958
       328      164.000       320.40      0.07914205  -1313.10688194  -1313.02773989
       329      164.500       295.56      0.07300568  -1313.10624182  -1313.03323614
       330      165.000       316.34      0.07813856  -1313.10639585  -1313.02825730
       331      165.500       344.70      0.08514458  -1313.10777060  -1313.02262602
       332      166.000       313.83      0.07751949  -1313.10893933  -1313.03141984
       333      166.500       245.13      0.06055087  -1313.10763709  -1313.04708622
       334      167.000       306.12      0.07561517  -1313.10761757  -1313.03200240
       335      167.500       355.72      0.08786586  -1313.10824317  -1313.02037732
       336      168.000       332.64      0.08216683  -1313.10819283  -1313.02602600
       337      168.500       324.97      0.08027038  -1313.10781096  -1313.02754058
       338      169.000       389.55      0.09622395  -1313.10793909  -1313.01171514
       339      169.500       329.06      0.08128156  -1313.10764077  -1313.02635921
       340      170.000       287.50      0.07101475  -1313.10685917  -1313.03584442
       341      170.500       292.92      0.07235554  -1313.10652323  -1313.03416770
       342      171.000       265.61      0.06560817  -1313.10713282  -1313.04152465
       343      171.500       278.10      0.06869367  -1313.10832040  -1313.03962673
       344      172.000       298.75      0.07379458  -1313.10776505  -1313.03397047
       345      172.500       310.13      0.07660675  -1313.10852874  -1313.03192199
       346      173.000       301.04      0.07436012  -1313.10905032  -1313.03469020
       347      173.500       285.48      0.07051794  -1313.10835348  -1313.03783555
       348      174.000       288.96      0.07137659  -1313.10808702  -1313.03671043
       349      174.500       280.17      0.06920486  -1313.10843521  -1313.03923035
       350      175.000       299.06      0.07387043  -1313.10936739  -1313.03549696
       351      175.500       293.99      0.07261907  -1313.11062705  -1313.03800798
       352      176.000       273.93      0.06766497  -1313.11114674  -1313.04348177
       353      176.500       317.69      0.07847290  -1313.11094487  -1313.03247197
       354      177.000       329.16      0.08130510  -1313.11111726  -1313.02981216
       355      177.500       296.30      0.07319032  -1313.11092249  -1313.03773217
       356      178.000       282.07      0.06967527  -1313.11061473  -1313.04093946
       357      178.500       298.04      0.07361945  -1313.11002578  -1313.03640633
       358      179.000       270.48      0.06681198  -1313.10878754  -1313.04197557
       359      179.500       290.97      0.07187239  -1313.10951168  -1313.03763929
       360      180.000       274.90      0.06790372  -1313.10941209  -1313.04150837
       361      180.500       314.23      0.07761794  -1313.10945404  -1313.03183611
       362      181.000       286.76      0.07083375  -1313.11009269  -1313.03925894
       363      181.500       297.35      0.07344876  -1313.11075180  -1313.03730303
       364      182.000       258.53      0.06385867  -1313.11017717  -1313.04631850
       365      182.500       304.99      0.07533670  -1313.10975562  -1313.03441893
       366      183.000       272.52      0.06731460  -1313.10852705  -1313.04121245
       367      183.500       287.03      0.07089996  -1313.10836034  -1313.03746037
       368      184.000       275.28      0.06799731  -1313.10817112  -1313.04017381
       369      184.500       324.75      0.08021802  -1313.10924634  -1313.02902832
       370      185.000       366.97      0.09064513  -1313.11130538  -1313.02066025
       371      185.500       312.49      0.07718745  -1313.11227986  -1313.03509240
       372      186.000       275.05      0.06794019  -1313.11168112  -1313.04374092
       373      186.500       271.77      0.06713077  -1313.11135399  -1313.04422322
       374      187.000       356.51      0.08806157  -1313.11169690  -1313.02363533
       375      187.500       299.26      0.07391969  -1313.11093234  -1313.03701265
       376      188.000       316.91      0.07828124  -1313.11076028  -1313.03247904
       377      188.500       265.37      0.06554865  -1313.11116272  -1313.04561407
       378      189.000       290.78      0.07182697  -1313.11186606  -1313.04003909
       379      189.500       314.01      0.07756509  -1313.11170582  -1313.03414073
       380      190.000       282.63      0.06981392  -1313.11118105  -1313.04136713
       381      190.500       365.40      0.09025896  -1313.11195688  -1313.02169792
       382      191.000       352.05      0.08695946  -1313.11243822  -1313.02547876
       383      191.500       276.50      0.06829849  -1313.11214845  -1313.04384996
       384      192.000       372.69      0.09205909  -1313.11307094  -1313.02101184
       385      192.500       267.48      0.06607028  -1313.11188335  -1313.04581308
       386      193.000       286.72      0.07082268  -1313.11157321  -1313.04075053
       387      193.500       264.08      0.06523063  -1313.11123637  -1313.04600574
       388      194.000       266.95      0.06593890  -1313.11223929  -1313.04630039
       389      194.500       310.89      0.07679310  -1313.11162683  -1313.03483372
       390      195.000       318.18      0.07859520  -1313.11136647  -1313.03277126
       391      195.500       277.62      0.06857476  -1313.11056161  -1313.04198686
       392      196.000       354.06      0.08745627  -1313.11017696  -1313.02272068
