# MD Simulation - NVT Ensemble
# Timestep: 0.5 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       245      122.500      3136.90      0.22351434   -234.49562614   -234.27211180
       246      123.000      2420.82      0.17249122   -234.50150793   -234.32901671
       247      123.500      1754.72      0.12502921   -234.49904740   -234.37401819
       248      124.000      2134.16      0.15206596   -234.49846005   -234.34639409
       249      124.500      1570.89      0.11193116   -234.50042869   -234.38849753
       250      125.000      1888.30      0.13454775   -234.50058898   -234.36604123
       251      125.500      1487.24      0.10597076   -234.50187880   -234.39590804
       252      126.000      1423.78      0.10144931   -234.50141265   -234.39996335
       253      126.500      1689.77      0.12040164   -234.49913127   -234.37872963
       254      127.000      2358.90      0.16807912   -234.49949669   -234.33141757
       255      127.500      1797.79      0.12809829   -234.49898081   -234.37088253
       256      128.000      2616.83      0.18645797   -234.50017616   -234.31371819
       257      128.500      2126.18      0.15149738   -234.49705940   -234.34556201
       258      129.000      1943.98      0.13851480   -234.50286117   -234.36434637
       259      129.500      1803.21      0.12848490   -234.50082184   -234.37233694
       260      130.000      2538.10      0.18084792   -234.50078079   -234.31993287
       261      130.500      2556.83      0.18218235   -234.49995515   -234.31777280
       262      131.000      1882.51      0.13413468   -234.49756281   -234.36342813
       263      131.500      2134.85      0.15211511   -234.49546607   -234.34335096
       264      132.000      1873.76      0.13351164   -234.49110874   -234.35759711
       265      132.500      1527.04      0.10880663   -234.49602543   -234.38721880
       266      133.000      1555.26      0.11081759   -234.49458524   -234.38376764
       267      133.500      2539.06      0.18091597   -234.49270859   -234.31179262
       268      134.000      1325.58      0.09445167   -234.49656821   -234.40211654
       269      134.500      1796.70      0.12802063   -234.49761633   -234.36959570
       270      135.000      2307.42      0.16441108   -234.49607930   -234.33166822
       271      135.500      2422.90      0.17263983   -234.49544716   -234.32280733
       272      136.000      1692.59      0.12060285   -234.49234832   -234.37174547
       273      136.500      1652.97      0.11777964   -234.49445581   -234.37667617
       274      137.000      2306.94      0.16437703   -234.49293109   -234.32855406
       275      137.500      1754.57      0.12501858   -234.48975458   -234.36473600
       276      138.000      1470.20      0.10475672   -234.49080724   -234.38605052
       277      138.500      3309.56      0.23581710   -234.49477833   -234.25896123
       278      139.000      2169.68      0.15459668   -234.49736506   -234.34276838
       279      139.500      1476.68      0.10521836   -234.49746340   -234.39224505
       280      140.000      2491.52      0.17752863   -234.49792506   -234.32039643
       281      140.500      1843.49      0.13135474   -234.49157427   -234.36021953
       282      141.000      1934.73      0.13785561   -234.49647529   -234.35861968
       283      141.500      2590.87      0.18460790   -234.49820533   -234.31359743
       284      142.000      1771.83      0.12624850   -234.49795568   -234.37170718
       285      142.500      1754.71      0.12502910   -234.49691933   -234.37189023
       286      143.000      1758.45      0.12529530   -234.49669272   -234.37139742
       287      143.500      1977.99      0.14093832   -234.50068729   -234.35974897
       288      144.000      2171.44      0.15472239   -234.50246264   -234.34774026
       289      144.500      1946.54      0.13869728   -234.50028199   -234.36158471
       290      145.000      2015.33      0.14359904   -234.49981168   -234.35621264
