# MD Simulation - NVE Ensemble
# Timestep: 0.1 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       298       29.800       139.82      0.01926114   -779.13741701   -779.11815587
       299       29.900       142.28      0.01960025   -779.13751238   -779.11791212
       300       30.000       145.83      0.02008871   -779.13764973   -779.11756103
       301       30.100       150.22      0.02069371   -779.13781983   -779.11712612
       302       30.200       155.17      0.02137582   -779.13801161   -779.11663579
       303       30.300       160.37      0.02209137   -779.13821281   -779.11612143
       304       30.400       165.48      0.02279528   -779.13841072   -779.11561544
       305       30.500       170.18      0.02344383   -779.13859302   -779.11514919
       306       30.600       174.20      0.02399755   -779.13874866   -779.11475112
       307       30.700       177.30      0.02442367   -779.13886845   -779.11444477
       308       30.800       179.29      0.02469838   -779.13894559   -779.11424721
       309       30.900       180.09      0.02480833   -779.13897638   -779.11416805
       310       31.000       179.68      0.02475149   -779.13896033   -779.11420884
       311       31.100       178.12      0.02453717   -779.13889994   -779.11436277
       312       31.200       175.57      0.02418520   -779.13880085   -779.11461565
       313       31.300       172.22      0.02372427   -779.13867118   -779.11494690
       314       31.400       168.34      0.02318960   -779.13852081   -779.11533120
       315       31.500       164.20      0.02261999   -779.13836058   -779.11574059
       316       31.600       160.10      0.02205471   -779.13820165   -779.11614694
       317       31.700       156.29      0.02153038   -779.13805426   -779.11652389
       318       31.800       153.01      0.02107819   -779.13792717   -779.11684898
       319       31.900       150.42      0.02072186   -779.13782719   -779.11710534
       320       32.000       148.64      0.02047623   -779.13775825   -779.11728202
       321       32.100       147.70      0.02034700   -779.13772215   -779.11737515
       322       32.200       147.59      0.02033116   -779.13771791   -779.11738675
       323       32.300       148.22      0.02041828   -779.13774259   -779.11732431
       324       32.400       149.48      0.02059228   -779.13779161   -779.11719933
       325       32.500       151.23      0.02083347   -779.13785954   -779.11702607
       326       32.600       153.32      0.02112054   -779.13794029   -779.11681975
       327       32.700       155.58      0.02143241   -779.13802799   -779.11659557
       328       32.800       157.88      0.02174962   -779.13811706   -779.11636744
       329       32.900       160.10      0.02205531   -779.13820291   -779.11614760
       330       33.000       162.14      0.02233573   -779.13828155   -779.11594582
       331       33.100       163.91      0.02258032   -779.13835021   -779.11576989
       332       33.200       165.38      0.02278150   -779.13840660   -779.11562510
       333       33.300       166.48      0.02293424   -779.13844942   -779.11551517
       334       33.400       167.22      0.02303558   -779.13847785   -779.11544227
       335       33.500       167.57      0.02308412   -779.13849145   -779.11540733
       336       33.600       167.54      0.02307960   -779.13849011   -779.11541051
       337       33.700       167.13      0.02302266   -779.13847419   -779.11545153
       338       33.800       166.34      0.02291465   -779.13844390   -779.11552925
       339       33.900       165.20      0.02275770   -779.13839991   -779.11564222
       340       34.000       163.73      0.02255478   -779.13834302   -779.11578824
       341       34.100       161.95      0.02230988   -779.13827432   -779.11596444
       342       34.200       159.91      0.02202810   -779.13819533   -779.11616722
       343       34.300       157.64      0.02171577   -779.13810776   -779.11639199
       344       34.400       155.20      0.02138039   -779.13801375   -779.11663336
       345       34.500       152.66      0.02103045   -779.13791554   -779.11688509
       346       34.600       150.08      0.02067509   -779.13781591   -779.11714082
       347       34.700       147.53      0.02032367   -779.13771733   -779.11739366
       348       34.800       145.08      0.01998520   -779.13762243   -779.11763723
       349       34.900       142.77      0.01966784   -779.13753342   -779.11786558
       350       35.000       140.67      0.01937839   -779.13745229   -779.11807390
       351       35.100       138.81      0.01912194   -779.13738042   -779.11825847
       352       35.200       137.21      0.01890179   -779.13731877   -779.11841698
       353       35.300       135.89      0.01871951   -779.13726771   -779.11854821
       354       35.400       134.84      0.01857540   -779.13722738   -779.11865199
       355       35.500       134.07      0.01846903   -779.13719762   -779.11872859
       356       35.600       133.57      0.01840000   -779.13717834   -779.11877834
       357       35.700       133.34      0.01836865   -779.13716951   -779.11880087
       358       35.800       133.40      0.01837659   -779.13717168   -779.11879509
       359       35.900       133.77      0.01842701   -779.13718577   -779.11875875
       360       36.000       134.47      0.01852449   -779.13721290   -779.11868841
       361       36.100       135.56      0.01867441   -779.13725488   -779.11858047
       362       36.200       137.07      0.01888196   -779.13731289   -779.11843093
       363       36.300       139.02      0.01915089   -779.13738817   -779.11823728
       364       36.400       141.42      0.01948213   -779.13748097   -779.11799883
       365       36.500       144.26      0.01987269   -779.13759043   -779.11771774
       366       36.600       147.47      0.02031477   -779.13771446   -779.11739968
       367       36.700       150.96      0.02079559   -779.13784939   -779.11705379
       368       36.800       154.60      0.02129778   -779.13799037   -779.11669259
       369       36.900       158.25      0.02180042   -779.13813151   -779.11633109
       370       37.000       161.74      0.02228071   -779.13826647   -779.11598576
       371       37.100       164.90      0.02271583   -779.13838860   -779.11567277
       372       37.200       167.58      0.02308502   -779.13849230   -779.11540728
       373       37.300       169.66      0.02337148   -779.13857272   -779.11520124
       374       37.400       171.05      0.02356385   -779.13862664   -779.11506279
       375       37.500       171.73      0.02365729   -779.13865277   -779.11499548
       376       37.600       171.71      0.02365389   -779.13865168   -779.11499779
       377       37.700       171.05      0.02356257   -779.13862580   -779.11506323
       378       37.800       169.85      0.02339836   -779.13857943   -779.11518107
       379       37.900       168.28      0.02318131   -779.13851824   -779.11533693
       380       38.000       166.49      0.02293507   -779.13844886   -779.11551379
       381       38.100       164.68      0.02268526   -779.13837841   -779.11569315
       382       38.200       163.03      0.02245774   -779.13831426   -779.11585652
       383       38.300       161.71      0.02227697   -779.13826323   -779.11598626
       384       38.400       160.90      0.02216445   -779.13823143   -779.11606698
       385       38.500       160.70      0.02213736   -779.13822361   -779.11608625
       386       38.600       161.21      0.02220745   -779.13824317   -779.11603572
       387       38.700       162.46      0.02238020   -779.13829155   -779.11591134
       388       38.800       164.45      0.02265440   -779.13836849   -779.11571409
       389       38.900       167.12      0.02302190   -779.13847164   -779.11544974
       390       39.000       170.36      0.02346789   -779.13859691   -779.11512902
       391       39.100       174.01      0.02397142   -779.13873840   -779.11476697
       392       39.200       177.90      0.02450630   -779.13888871   -779.11438242
       393       39.300       181.79      0.02504231   -779.13903940   -779.11399708
       394       39.400       185.45      0.02554676   -779.13918125   -779.11363449
       395       39.500       188.64      0.02598614   -779.13930488   -779.11331874
       396       39.600       191.12      0.02632812   -779.13940115   -779.11307303
       397       39.700       192.68      0.02654348   -779.13946192   -779.11291844
       398       39.800       193.15      0.02660811   -779.13948031   -779.11287220
       399       39.900       192.40      0.02650483   -779.13945159   -779.11294676
       400       40.000       190.37      0.02622504   -779.13937328   -779.11314824
       401       40.100       187.07      0.02576988   -779.13924560   -779.11347572
       402       40.200       182.58      0.02515089   -779.13907190   -779.11392101
       403       40.300       177.05      0.02439007   -779.13885827   -779.11446820
       404       40.400       170.73      0.02351921   -779.13861374   -779.11509454
       405       40.500       163.90      0.02257840   -779.13834947   -779.11577107
       406       40.600       156.90      0.02161388   -779.13807853   -779.11646465
       407       40.700       150.09      0.02067517   -779.13781478   -779.11713961
       408       40.800       143.82      0.01981172   -779.13757218   -779.11776045
       409       40.900       138.43      0.01906937   -779.13736364   -779.11829427
       410       41.000       134.20      0.01848682   -779.13720005   -779.11871323
       411       41.100       131.34      0.01809263   -779.13708935   -779.11899672
       412       41.200       129.96      0.01790290   -779.13703614   -779.11913324
       413       41.300       130.08      0.01791996   -779.13704114   -779.11912118
       414       41.400       131.63      0.01813226   -779.13710100   -779.11896874
       415       41.500       134.41      0.01851538   -779.13720893   -779.11869355
       416       41.600       138.17      0.01903422   -779.13735496   -779.11832075
       417       41.700       142.61      0.01964589   -779.13752712   -779.11788123
       418       41.800       147.39      0.02030323   -779.13771199   -779.11740876
       419       41.900       152.14      0.02095841   -779.13789627   -779.11693786
       420       42.000       156.55      0.02156640   -779.13806719   -779.11650078
       421       42.100       160.34      0.02208797   -779.13821378   -779.11612581
       422       42.200       163.27      0.02249195   -779.13832723   -779.11583527
       423       42.300       165.20      0.02275681   -779.13840161   -779.11564480
       424       42.400       166.03      0.02287129   -779.13843364   -779.11556234
       425       42.500       165.76      0.02283437   -779.13842314   -779.11558877
       426       42.600       164.45      0.02265453   -779.13837247   -779.11571794
       427       42.700       162.23      0.02234857   -779.13828636   -779.11593779
       428       42.800       159.27      0.02193999   -779.13817143   -779.11623144
