
================================================================================
                                 MD SIMULATION                                  
================================================================================
Ensemble:        NVE
Timestep:        0.250 fs
Total steps:     4000000
Simulation time: 1000000.00 fs

System:
  Atoms:         30
  Formula:       C8H15N3O4
  Charge:        0
  Multiplicity:  1

================================================================================

WARNING: Pre-existing output files were backed up:
  Backed up existing file: agnve.out -> #agnve.out.1#


       Step         Time(ps)  Progress      T(K)      E_total(Ha)  Speed(ns/day)         ETA
  ---------  ---------------  --------  --------  ---------------  -------------  ----------

Starting NVE simulation...

  Step    23900     5975.00 fs  T  457.64 K  E    -779.075733 Ha
  Step    24000     6000.00 fs  T  412.42 K  E    -779.080197 Ha
  Step    24100     6025.00 fs  T  359.09 K  E    -779.085507 Ha
  Step    24200     6050.00 fs  T  456.21 K  E    -779.075864 Ha
  Step    24300     6075.00 fs  T  389.62 K  E    -779.082443 Ha
  Step    24400     6100.00 fs  T  322.48 K  E    -779.089122 Ha
  Step    24500     6125.00 fs  T  375.79 K  E    -779.083831 Ha
  Step    24600     6150.00 fs  T  374.51 K  E    -779.083941 Ha
  Step    24700     6175.00 fs  T  462.01 K  E    -779.075295 Ha
  Step    24800     6200.00 fs  T  410.54 K  E    -779.080398 Ha
  Step    24900     6225.00 fs  T  404.22 K  E    -779.081002 Ha
  Step    25000     6250.00 fs  T  410.55 K  E    -779.080394 Ha
  Step    25100     6275.00 fs  T  382.31 K  E    -779.083196 Ha
  Step    25200     6300.00 fs  T  366.16 K  E    -779.084788 Ha
  Step    25300     6325.00 fs  T  376.39 K  E    -779.083792 Ha
  Step    25400     6350.00 fs  T  345.81 K  E    -779.086810 Ha
  Step    25500     6375.00 fs  T  438.78 K  E    -779.077567 Ha
  Step    25600     6400.00 fs  T  337.12 K  E    -779.087685 Ha
  Step    25700     6425.00 fs  T  382.75 K  E    -779.083157 Ha
  Step    25800     6450.00 fs  T  321.61 K  E    -779.089196 Ha
  Step    25900     6475.00 fs  T  311.25 K  E    -779.090247 Ha
  Step    26000     6500.00 fs  T  447.96 K  E    -779.076703 Ha
  Step    26100     6525.00 fs  T  368.70 K  E    -779.084528 Ha
  Step    26200     6550.00 fs  T  423.89 K  E    -779.079073 Ha
  Step    26300     6575.00 fs  T  467.62 K  E    -779.074728 Ha
  Step    26400     6600.00 fs  T  372.68 K  E    -779.084123 Ha
  Step    26500     6625.00 fs  T  500.65 K  E    -779.071470 Ha
  Step    26600     6650.00 fs  T  433.19 K  E    -779.078152 Ha
  Step    26700     6675.00 fs  T  459.01 K  E    -779.075575 Ha
  Step    26800     6700.00 fs  T  506.83 K  E    -779.070870 Ha
  Step    26900     6725.00 fs  T  332.55 K  E    -779.088145 Ha
  Step    27000     6750.00 fs  T  375.31 K  E    -779.083881 Ha
  Step    27100     6775.00 fs  T  452.24 K  E    -779.076268 Ha
  Step    27200     6800.00 fs  T  382.45 K  E    -779.083196 Ha
  Step    27300     6825.00 fs  T  350.93 K  E    -779.086286 Ha
  Step    27400     6850.00 fs  T  294.85 K  E    -779.091854 Ha
  Step    27500     6875.00 fs  T  372.84 K  E    -779.084138 Ha
  Step    27600     6900.00 fs  T  382.25 K  E    -779.083189 Ha
  Step    27700     6925.00 fs  T  350.14 K  E    -779.086386 Ha
  Step    27800     6950.00 fs  T  374.94 K  E    -779.083927 Ha
  Step    27900     6975.00 fs  T  376.71 K  E    -779.083731 Ha
  Step    28000     7000.00 fs  T  368.16 K  E    -779.084598 Ha
  Step    28100     7025.00 fs  T  454.86 K  E    -779.076009 Ha
  Step    28200     7050.00 fs  T  453.66 K  E    -779.076115 Ha
  Step    28300     7075.00 fs  T  345.02 K  E    -779.086894 Ha
  Step    28400     7100.00 fs  T  371.69 K  E    -779.084261 Ha
  Step    28500     7125.00 fs  T  346.48 K  E    -779.086730 Ha
  Step    28600     7150.00 fs  T  420.01 K  E    -779.079435 Ha
  Step    28700     7175.00 fs  T  453.81 K  E    -779.076110 Ha
  Step    28800     7200.00 fs  T  402.27 K  E    -779.081213 Ha
  Step    28900     7225.00 fs  T  319.16 K  E    -779.089450 Ha
  Step    29000     7250.00 fs  T  426.44 K  E    -779.078826 Ha
  Step    29100     7275.00 fs  T  471.54 K  E    -779.074344 Ha
  Step    29200     7300.00 fs  T  393.57 K  E    -779.082086 Ha
  Step    29300     7325.00 fs  T  456.68 K  E    -779.075838 Ha
  Step    29400     7350.00 fs  T  402.17 K  E    -779.081213 Ha
  Step    29500     7375.00 fs  T  400.74 K  E    -779.081361 Ha
  Step    29600     7400.00 fs  T  456.65 K  E    -779.075841 Ha
  Step    29700     7425.00 fs  T  420.15 K  E    -779.079441 Ha
  Step    29800     7450.00 fs  T  434.97 K  E    -779.077962 Ha
  Step    29900     7475.00 fs  T  434.96 K  E    -779.077974 Ha
  Step    30000     7500.00 fs  T  374.50 K  E    -779.083956 Ha
  Step    30100     7525.00 fs  T  350.55 K  E    -779.086330 Ha
  Step    30200     7550.00 fs  T  365.33 K  E    -779.084881 Ha
  Step    30300     7575.00 fs  T  385.14 K  E    -779.082905 Ha
  Step    30400     7600.00 fs  T  416.24 K  E    -779.079821 Ha
  Step    30500     7625.00 fs  T  377.34 K  E    -779.083690 Ha
  Step    30600     7650.00 fs  T  412.93 K  E    -779.080152 Ha
  Step    30700     7675.00 fs  T  462.30 K  E    -779.075254 Ha
  Step    30800     7700.00 fs  T  477.91 K  E    -779.073716 Ha
  Step    30900     7725.00 fs  T  465.15 K  E    -779.074956 Ha
  Step    31000     7750.00 fs  T  435.84 K  E    -779.077866 Ha
  Step    31100     7775.00 fs  T  379.07 K  E    -779.083505 Ha
  Step    31200     7800.00 fs  T  377.12 K  E    -779.083695 Ha
  Step    31300     7825.00 fs  T  404.99 K  E    -779.080937 Ha
  Step    31400     7850.00 fs  T  374.93 K  E    -779.083932 Ha
  Step    31500     7875.00 fs  T  403.78 K  E    -779.081054 Ha
  Step    31600     7900.00 fs  T  399.02 K  E    -779.081524 Ha
  Step    31700     7925.00 fs  T  342.84 K  E    -779.087113 Ha
  Step    31800     7950.00 fs  T  391.28 K  E    -779.082307 Ha
  Step    31900     7975.00 fs  T  386.02 K  E    -779.082821 Ha
  Step    32000     8000.00 fs  T  446.60 K  E    -779.076823 Ha
  Step    32100     8025.00 fs  T  422.53 K  E    -779.079207 Ha
  Step    32200     8050.00 fs  T  417.23 K  E    -779.079734 Ha
  Step    32300     8075.00 fs  T  500.61 K  E    -779.071492 Ha
