# MD Simulation - NVT Ensemble
# Timestep: 0.25 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       315       78.750       328.76      0.04528856   -779.13445362   -779.08916507
       316       79.000       285.69      0.03935556   -779.13380425   -779.09444869
       317       79.250       250.12      0.03445506   -779.13374660   -779.09929154
       318       79.500       257.27      0.03544014   -779.13390145   -779.09846131
       319       79.750       256.57      0.03534415   -779.13442049   -779.09907633
       320       80.000       269.28      0.03709492   -779.13501303   -779.09791811
       321       80.250       243.82      0.03358839   -779.13551540   -779.10192700
       322       80.500       242.64      0.03342500   -779.13594907   -779.10252406
       323       80.750       248.79      0.03427181   -779.13693157   -779.10265977
       324       81.000       317.07      0.04367890   -779.13724216   -779.09356327
       325       81.250       293.00      0.04036214   -779.13741021   -779.09704806
       326       81.500       316.28      0.04356915   -779.13730537   -779.09373622
       327       81.750       257.77      0.03550948   -779.13722373   -779.10171425
       328       82.000       326.03      0.04491310   -779.13737487   -779.09246176
       329       82.250       274.84      0.03786142   -779.13693213   -779.09907071
       330       82.500       288.88      0.03979513   -779.13638773   -779.09659260
       331       82.750       314.28      0.04329433   -779.13647479   -779.09318046
       332       83.000       276.25      0.03805557   -779.13658629   -779.09853072
       333       83.250       363.54      0.05007998   -779.13688760   -779.08680762
       334       83.500       218.16      0.03005273   -779.13693636   -779.10688363
       335       83.750       327.07      0.04505577   -779.13693815   -779.09188238
       336       84.000       391.10      0.05387677   -779.13680087   -779.08292410
       337       84.250       314.60      0.04333876   -779.13617076   -779.09283200
       338       84.500       289.90      0.03993501   -779.13533679   -779.09540178
       339       84.750       351.88      0.04847321   -779.13483015   -779.08635694
       340       85.000       256.56      0.03534277   -779.13507945   -779.09973668
       341       85.250       320.99      0.04421790   -779.13526004   -779.09104213
       342       85.500       289.69      0.03990603   -779.13535499   -779.09544896
       343       85.750       247.73      0.03412623   -779.13573774   -779.10161152
       344       86.000       261.69      0.03604966   -779.13593974   -779.09989009
       345       86.250       251.75      0.03467958   -779.13578887   -779.10110929
       346       86.500       229.19      0.03157236   -779.13556584   -779.10399348
       347       86.750       241.83      0.03331294   -779.13578845   -779.10247551
       348       87.000       237.46      0.03271209   -779.13598562   -779.10327353
       349       87.250       281.31      0.03875246   -779.13562302   -779.09687055
       350       87.500       252.74      0.03481602   -779.13551070   -779.10069468
       351       87.750       296.26      0.04081134   -779.13544210   -779.09463077
       352       88.000       264.70      0.03646394   -779.13565066   -779.09918672
       353       88.250       263.84      0.03634539   -779.13567827   -779.09933287
       354       88.500       278.25      0.03833051   -779.13601776   -779.09768724
       355       88.750       384.05      0.05290510   -779.13630768   -779.08340258
       356       89.000       307.69      0.04238642   -779.13649649   -779.09411007
       357       89.250       284.90      0.03924634   -779.13678875   -779.09754242
       358       89.500       288.56      0.03975060   -779.13671116   -779.09696056
       359       89.750       335.43      0.04620769   -779.13673723   -779.09052954
       360       90.000       297.26      0.04094920   -779.13666118   -779.09571198
       361       90.250       295.84      0.04075371   -779.13668318   -779.09592947
       362       90.500       294.19      0.04052680   -779.13634305   -779.09581624
       363       90.750       256.62      0.03535112   -779.13608804   -779.10073692
       364       91.000       281.50      0.03877907   -779.13593803   -779.09715896
       365       91.250       169.42      0.02333822   -779.13607426   -779.11273605
       366       91.500       188.49      0.02596564   -779.13594269   -779.10997705
       367       91.750       314.30      0.04329673   -779.13596553   -779.09266880
       368       92.000       256.96      0.03539817   -779.13602563   -779.10062747
       369       92.250       288.92      0.03980023   -779.13593731   -779.09613708
       370       92.500       263.59      0.03631118   -779.13557455   -779.09926336
       371       92.750       322.67      0.04444971   -779.13569109   -779.09124138
       372       93.000       308.59      0.04251076   -779.13559338   -779.09308263
       373       93.250       250.47      0.03450335   -779.13539782   -779.10089448
       374       93.500       232.51      0.03202987   -779.13558598   -779.10355611
       375       93.750       273.01      0.03760837   -779.13561105   -779.09800267
       376       94.000       293.64      0.04045091   -779.13548125   -779.09503034
       377       94.250       237.96      0.03278041   -779.13564754   -779.10286713
       378       94.500       290.36      0.03999944   -779.13580001   -779.09580057
       379       94.750       285.43      0.03931992   -779.13558442   -779.09626450
       380       95.000       329.94      0.04545107   -779.13509468   -779.08964361
       381       95.250       320.35      0.04413074   -779.13443524   -779.09030450
       382       95.500       306.08      0.04216446   -779.13393942   -779.09177496
       383       95.750       297.55      0.04098949   -779.13361270   -779.09262321
       384       96.000       267.30      0.03682290   -779.13302485   -779.09620195
       385       96.250       302.14      0.04162115   -779.13325563   -779.09163447
       386       96.500       335.55      0.04622356   -779.13360651   -779.08738296
       387       96.750       345.40      0.04758080   -779.13381891   -779.08623811
       388       97.000       357.27      0.04921574   -779.13416168   -779.08494594
       389       97.250       332.13      0.04575272   -779.13450941   -779.08875669
       390       97.500       324.81      0.04474401   -779.13419889   -779.08945488
       391       97.750       258.99      0.03567771   -779.13333274   -779.09765503
       392       98.000       276.56      0.03809750   -779.13262285   -779.09452536
       393       98.250       216.48      0.02982115   -779.13212357   -779.10230241
       394       98.500       224.25      0.03089178   -779.13233462   -779.10144284
       395       98.750       349.96      0.04820903   -779.13268954   -779.08448051
       396       99.000       374.69      0.05161527   -779.13327509   -779.08165983
       397       99.250       387.47      0.05337582   -779.13372555   -779.08034973
       398       99.500       346.34      0.04771059   -779.13379178   -779.08608119
       399       99.750       275.89      0.03800499   -779.13379719   -779.09579219
       400      100.000       333.79      0.04598166   -779.13389964   -779.08791798
       401      100.250       352.35      0.04853843   -779.13414349   -779.08560506
       402      100.500       316.34      0.04357718   -779.13426481   -779.09068763
       403      100.750       288.84      0.03978968   -779.13434427   -779.09455459
       404      101.000       357.33      0.04922436   -779.13450037   -779.08527601
       405      101.250       281.70      0.03880585   -779.13440213   -779.09559628
       406      101.500       269.84      0.03717195   -779.13436147   -779.09718952
       407      101.750       374.69      0.05161563   -779.13447644   -779.08286081
       408      102.000       319.21      0.04397329   -779.13434751   -779.09037423
       409      102.250       360.39      0.04964614   -779.13432460   -779.08467845
       410      102.500       337.70      0.04652016   -779.13394888   -779.08742872
       411      102.750       262.46      0.03615514   -779.13405510   -779.09789995
       412      103.000       240.15      0.03308264   -779.13416457   -779.10108193
       413      103.250       234.41      0.03229144   -779.13436587   -779.10207442
       414      103.500       299.45      0.04125084   -779.13470932   -779.09345848
       415      103.750       378.75      0.05217513   -779.13530540   -779.08313027
       416      104.000       355.30      0.04894465   -779.13506159   -779.08611694
       417      104.250       312.62      0.04306594   -779.13497210   -779.09190615
       418      104.500       276.04      0.03802667   -779.13529048   -779.09726382
       419      104.750       257.42      0.03546128   -779.13549304   -779.10003175
       420      105.000       270.15      0.03721428   -779.13533210   -779.09811782
       421      105.250       300.42      0.04138431   -779.13496873   -779.09358443
       422      105.500       339.21      0.04672786   -779.13530568   -779.08857781
       423      105.750       314.86      0.04337369   -779.13552531   -779.09215162
       424      106.000       324.23      0.04466517   -779.13622050   -779.09155533
       425      106.250       372.24      0.05127871   -779.13668226   -779.08540355
       426      106.500       396.95      0.05468209   -779.13684149   -779.08215940
       427      106.750       377.40      0.05198965   -779.13645916   -779.08446951
       428      107.000       429.22      0.05912837   -779.13607076   -779.07694239
       429      107.250       299.56      0.04126564   -779.13568056   -779.09441492
       430      107.500       276.86      0.03813899   -779.13479461   -779.09665562
       431      107.750       277.37      0.03820905   -779.13410069   -779.09589165
       432      108.000       350.44      0.04827599   -779.13379024   -779.08551425
       433      108.250       335.38      0.04620009   -779.13360488   -779.08740479
       434      108.500       290.59      0.04003053   -779.13304597   -779.09301543
       435      108.750       278.87      0.03841644   -779.13261241   -779.09419597
       436      109.000       302.05      0.04160944   -779.13287379   -779.09126435
       437      109.250       298.07      0.04106044   -779.13394744   -779.09288700
       438      109.500       305.22      0.04204597   -779.13466632   -779.09262034
       439      109.750       377.15      0.05195436   -779.13486133   -779.08290697
