# MD Simulation - NVE Ensemble
# Timestep: 0.25 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       279       69.750       332.95      0.04586572   -779.13395334   -779.08808762
       280       70.000       345.93      0.04765394   -779.13446530   -779.08681136
       281       70.250       350.45      0.04827613   -779.13464304   -779.08636692
       282       70.500       345.19      0.04755153   -779.13443415   -779.08688261
       283       70.750       332.58      0.04581531   -779.13393432   -779.08811901
       284       71.000       318.04      0.04381155   -779.13335731   -779.08954576
       285       71.250       307.75      0.04239491   -779.13294954   -779.09055463
       286       71.500       306.04      0.04215827   -779.13288183   -779.09072356
       287       71.750       313.44      0.04317812   -779.13317567   -779.08999756
       288       72.000       326.76      0.04501391   -779.13370310   -779.08868919
       289       72.250       340.76      0.04694229   -779.13425552   -779.08731324
       290       72.500       350.48      0.04828030   -779.13463709   -779.08635680
       291       72.750       353.10      0.04864174   -779.13473771   -779.08609597
       292       73.000       348.75      0.04804237   -779.13456311   -779.08652074
       293       73.250       340.07      0.04684668   -779.13421832   -779.08737164
       294       73.500       331.00      0.04559673   -779.13385923   -779.08826250
       295       73.750       325.15      0.04479152   -779.13362890   -779.08883738
       296       74.000       324.47      0.04469715   -779.13360358   -779.08890643
       297       74.250       328.53      0.04525688   -779.13376671   -779.08850983
       298       74.500       334.88      0.04613115   -779.13402037   -779.08788922
       299       74.750       340.08      0.04684820   -779.13422875   -779.08738054
       300       75.000       341.23      0.04700665   -779.13427617   -779.08726953
       301       75.250       337.20      0.04645081   -779.13411777   -779.08766696
       302       75.500       329.12      0.04533887   -779.13379912   -779.08846025
       303       75.750       319.81      0.04405628   -779.13343242   -779.08937614
       304       76.000       312.18      0.04300416   -779.13313407   -779.09012991
       305       76.250       307.66      0.04238202   -779.13296155   -779.09057953
       306       76.500       305.62      0.04210167   -779.13288841   -779.09078675
       307       76.750       304.00      0.04187766   -779.13283100   -779.09095334
       308       77.000       300.65      0.04141632   -779.13270418   -779.09128786
       309       77.250       294.59      0.04058167   -779.13246847   -779.09188680
       310       77.500       286.50      0.03946697   -779.13215081   -779.09268384
       311       77.750       278.53      0.03836867   -779.13183585   -779.09346718
       312       78.000       273.59      0.03768899   -779.13163870   -779.09394971
       313       78.250       274.36      0.03779433   -779.13166472   -779.09387039
       314       78.500       282.12      0.03886425   -779.13196628   -779.09310203
       315       78.750       296.07      0.04078561   -779.13251174   -779.09172613
       316       79.000       313.24      0.04315105   -779.13318477   -779.09003372
       317       79.250       329.46      0.04538584   -779.13382046   -779.08843462
       318       79.500       340.93      0.04696545   -779.13426769   -779.08730225
